"id","name","club","nation","league","skills","weakFoot","height","weight","attWR","defWR","acceleRATE","bodyType","position","rating","acceleration","sprintspeed","positioning","finishing","shotpower","longshotsaccuracy","volleys","penalties","vision","crossing","freekickaccuracy","shortpassing","longpassing","curve","agility","balance","reactions","ballcontrol","dribbling","composure","interceptions","headingaccuracy","marking","standingtackle","slidingtackle","jumping","stamina","strength","aggression","likes","dislikes","likesRatio","positionRating"
"47268","Tomas Brolin","114605","Sweden","31","4","3","176","73","3","3","Explosive","Average","ST","87","97","94","90","95","95","87","99","94","86","79","80","86","79","82","87","85","89","91","92","84","53","83","58","56","60","83","79","64","67","2692","481","84.84084462653641","89.92999999999999"
"44212","Rudi Völler","114605","Germany","19","3","4","180","77","3","2","Controlled","Average","ST","89","94","92","88","92","93","84","90","86","86","86","76","81","66","91","91","84","94","87","94","85","42","93","41","43","41","94","91","85","74","2264","364","86.14916286149162","90.38"
"50480","Loïs Openda","64","Belgium","16","3","3","174","78","3","1","Controlled","Average","ST","85","99","98","88","98","89","85","75","90","82","82","52","85","68","62","91","91","89","91","92","82","23","94","41","27","21","99","87","93","82","1981","136","93.57581483230987","91.85000000000001"
"48603","Javier Hernández","697","Mexico","39","3","3","175","73","2","1","Controlled","Average","ST","85","93","82","93","90","83","80","81","75","87","74","64","91","69","85","71","76","84","75","70","78","32","88","26","38","31","97","80","90","70","560","976","36.45833333333333","85.4"
"1","Alan Shearer","112658","England","2118","2","3","182","78","3","2","Lengthy","Average","ST","91","90","88","92","95","94","86","93","94","76","92","94","86","71","85","71","71","87","82","76","88","44","94","28","65","55","88","84","88","80","170","411","29.259896729776248","89.48"
"3","Alan Shearer","112658","England","2118","2","3","182","78","2","2","Lengthy","Average","ST","87","78","75","91","90","88","83","87","93","84","75","90","95","65","87","69","69","88","80","72","89","44","91","30","68","56","94","81","99","86","126","326","27.876106194690266","86.81"
"52967","Michael Owen","112658","England","2118","3","4","173","70","2","2","Explosive","Average","ST","88","99","99","98","99","89","80","99","95","72","67","66","76","48","71","85","84","90","85","90","83","23","80","27","29","28","81","80","61","56","107","261","29.076086956521742","89.60000000000001"
"2","Alan Shearer","112658","England","2118","2","3","182","76","3","2","Controlled","Average","ST","89","89","87","93","96","98","93","90","95","73","77","83","80","62","80","74","71","83","81","77","85","40","91","26","60","51","97","87","89","85","220","348","38.732394366197184","89.35000000000001"
"103","Gary Lineker","112658","England","2118","3","4","177","74","3","1","Controlled","Average","ST","92","98","95","94","95","88","86","91","88","72","62","67","83","70","64","83","79","92","89","85","86","51","92","30","36","40","78","85","79","58","304","413","42.398884239888424","90.7"
"29791","Munas Dabbur","10029","Israel","19","4","4","183","78","2","2","Controlled","Average","ST","75","72","60","80","76","75","69","74","63","69","50","66","72","62","74","76","74","80","77","77","77","27","80","26","45","42","90","75","74","39","27","120","18.367346938775512","75.79999999999998"
"26316","Hugo Duro Perales","461","Spain","53","3","4","180","76","3","2","Controlled","Average","ST","77","81","84","76","80","76","72","74","64","68","64","51","75","60","52","69","69","74","79","78","68","53","82","49","43","50","74","70","72","47","28","108","20.588235294117645","77.79"
"219","Patrick Kluivert","112658","Netherlands","2118","4","4","188","81","3","1","Controlled","Average","ST","91","90","90","96","94","99","90","85","88","84","67","78","86","78","75","76","77","90","88","82","79","39","92","38","29","41","99","79","90","83","207","233","47.04545454545455","91.53999999999999"
"47786","Guy Dahan","15009","Israel","80","2","3","184","80","2","2","Lengthy","Average","ST","60","72","74","59","61","62","50","39","60","49","32","31","48","33","40","61","55","59","59","57","50","28","62","18","26","31","56","56","76","48","17","33","34.0","60.720000000000006"
"26233","Włodzimierz Smolarek","114605","Poland","66","3","4","171","70","3","2","Controlled","Stocky","ST","88","99","96","96","98","95","92","89","94","77","86","75","83","79","87","92","99","87","91","93","88","45","85","26","45","38","88","82","90","94","5392","796","87.13639301874596","92.64000000000001"
"83","Ferenc Puskás","112658","Hungary","2118","4","3","172","75","3","2","Controlled","Stocky","ST","92","94","92","97","97","92","94","92","94","95","95","89","95","92","99","92","99","96","93","98","96","47","74","44","43","38","67","88","81","55","3052","366","89.29198361614979","92.33"
"1029","Wayne Rooney","112658","England","2118","3","4","176","0","3","3","Controlled","Stocky","ST","91","94","92","93","92","94","92","92","87","85","87","82","90","88","94","88","91","92","91","94","87","44","89","52","56","44","87","91","87","90","3105","580","84.26051560379919","91.8"
"50624","Gerd Müller","112658","Germany","2118","4","4","176","74","3","2","Controlled","Stocky","ST","95","98","89","99","99","96","84","97","87","88","76","78","89","74","89","91","99","99","94","93","93","43","99","47","32","27","91","83","80","64","1928","300","86.53500897666068","95.30000000000001"
"52837","Wayne Rooney","112658","England","2118","5","4","176","0","3","3","Controlled","Stocky","ST","92","95","93","94","93","95","93","93","88","87","89","84","92","90","96","90","93","94","93","96","89","45","91","53","57","45","88","92","88","91","1725","209","89.19338159255429","93.2"
"47762","Wlodzimierz Smolarek","114605","Poland","19","3","3","171","70","3","2","Controlled","Stocky","ST","86","97","93","91","93","90","87","84","89","75","84","73","81","77","85","90","97","85","89","91","86","43","81","25","43","36","86","80","88","92","1799","315","85.09933774834437","89.01"
"26252","Gerd Müller","112658","Germany","2118","4","4","176","74","3","2","Explosive","Stocky","ST","89","98","89","94","94","90","80","90","84","80","72","73","81","66","84","92","99","92","87","88","87","35","91","38","33","28","91","83","73","64","1108","153","87.86677240285488","89.73000000000002"
"37207","Noah Ohio","232","Netherlands","4","2","3","183","89","3","2","Controlled","Stocky","ST","63","89","88","63","79","72","59","57","54","47","37","42","51","35","48","84","66","53","60","77","50","20","57","20","24","22","68","55","78","35","788","31","96.21489621489621","68.25999999999999"
"26253","Gerd Müller","112658","Germany","2118","4","4","176","74","3","2","Controlled","Stocky","ST","92","92","84","97","97","93","82","95","85","85","73","75","86","70","86","88","99","97","91","89","90","40","95","44","29","25","87","80","77","62","929","186","83.31838565022422","92.35000000000001"
"54286","Wlodzimierz Smolarek","114605","Poland","19","4","5","171","70","3","2","Controlled","Stocky","ST","96","99","97","99","99","99","99","99","99","88","95","90","95","95","96","97","99","99","96","99","93","63","99","36","63","53","87","90","94","94","523","120","81.33748055987559","98.15"
"36","Christian Vieri","112658","Italy","2118","3","4","185","80","2","2","Lengthy","Stocky","ST","90","88","87","94","94","91","86","85","85","73","72","69","89","74","86","65","76","88","88","93","86","39","93","41","26","25","82","81","89","75","173","331","34.32539682539682","90.94"
"51911","Shon Weissman","110832","Israel","54","3","4","174","79","3","2","Controlled","Stocky","ST","76","82","83","82","81","78","72","80","79","68","58","53","70","60","63","69","79","74","72","65","78","36","83","47","38","40","79","74","74","65","71","174","28.97959183673469","77.39999999999999"
"51767","Kevin Volland","69","Germany","16","3","4","179","85","3","3","Controlled","Stocky","ST","87","90","89","93","93","99","96","89","79","86","83","85","85","81","84","82","85","89","86","86","90","47","80","38","52","34","88","89","94","92","218","280","43.77510040160642","90.13"
"35632","Shon Weissman","462","Israel","53","3","4","174","79","3","2","Controlled","Stocky","ST","76","78","79","82","81","78","72","80","79","72","66","53","74","64","71","73","87","74","72","73","78","28","79","43","30","25","79","74","74","65","86","127","40.375586854460096","77.4"
"35","Christian Vieri","112658","Italy","2118","3","4","185","79","3","2","Lengthy","Stocky","ST","86","93","92","90","95","92","82","96","89","65","60","68","78","68","75","62","69","83","83","82","82","36","87","35","26","25","83","83","86","66","224","237","48.590021691973966","88.27999999999999"
"28747","Asier Villalibre Molina","448","Spain","53","3","3","184","87","3","2","Lengthy","Stocky","ST","71","78","82","73","78","84","57","87","81","52","46","36","68","46","60","70","64","64","70","65","74","31","74","41","32","30","78","69","92","67","11","14","44.0","74.67"
"31631","Jean-Kévin Augustin","896","France","189","3","3","180","80","2","1","Controlled","Stocky","ST","65","73","71","73","65","71","65","69","67","61","65","42","66","48","52","68","70","60","68","67","62","30","60","40","32","32","62","34","58","47","15","18","45.45454545454545","66.57999999999998"
"28159","Andrés Ríos","111710","Argentina","1014","3","4","178","78","2","2","Controlled","Stocky","ST","64","69","62","64","61","70","61","62","69","64","55","56","66","65","63","71","68","61","63","62","68","32","67","44","48","37","75","77","80","78","0","2","0.0","64.75"
"30439","Leandro Díaz","101083","Argentina","1003","3","2","180","85","2","2","Controlled","Stocky","ST","73","76","78","74","79","77","63","54","71","69","58","44","67","56","72","73","59","68","71","67","63","30","81","25","31","31","88","72","80","56","0","2","0.0","74.13"
"30927","Jordan Hugill","1792","England","14","3","3","183","85","3","3","Lengthy","Stocky","ST","69","76","71","69","70","73","57","63","62","57","53","36","63","39","55","64","62","66","67","65","64","36","80","42","40","49","85","75","85","90","2","4","33.33333333333333","70.36000000000001"
"295","Thierry Henry","112658","France","2118","4","4","188","83","2","2","Controlled","High & Average","ST","93","98","98","97","98","96","95","90","90","82","80","87","87","76","93","90","66","90","93","91","86","53","85","46","51","45","78","88","87","72","2248","526","81.03821196827685","93.38999999999999"
"335","Robin van Persie","112658","Netherlands","2118","4","4","187","71","3","1","Controlled","High & Average","ST","87","97","93","90","96","97","86","99","95","85","86","86","85","74","87","87","71","87","92","91","87","44","74","33","41","34","69","76","76","63","1933","281","87.30803974706414","89.75000000000001"
"48700","Isaak Touré","219","France","16","3","4","204","75","3","2","Lengthy","High & Average","ST","83","88","98","99","92","99","60","95","99","81","70","40","89","77","62","76","80","96","95","80","96","49","49","47","50","46","76","80","90","76","2014","373","84.37369082530373","88.08"
"50229","Didier Drogba","112658","Côte d'Ivoire","2118","4","5","189","88","3","3","Lengthy","High & Average","ST","90","89","87","91","94","93","84","92","87","87","76","83","77","74","75","72","68","88","86","79","88","54","94","43","50","42","98","88","98","86","1785","253","87.58586849852796","89.63999999999999"
"50281","Olivier Giroud","47","France","31","4","4","192","93","3","2","Lengthy","High & Average","ST","87","91","95","94","98","94","80","99","99","84","70","71","84","66","77","80","80","91","92","81","92","46","97","42","42","23","86","80","94","80","3797","339","91.8036750483559","92.78000000000002"
"48455","Alexander Sørloth","457","Norway","53","3","4","194","90","3","2","Lengthy","High & Average","ST","84","80","95","92","97","96","79","85","83","79","76","69","78","68","85","70","67","82","85","99","90","41","93","44","26","24","71","88","96","80","2639","388","87.18202841096796","91.03000000000002"
"50298","Rafael da Conceição Leão","47","Portugal","31","5","4","188","81","2","1","Controlled","High & Average","ST","91","95","97","99","99","92","79","90","74","82","83","67","84","70","89","95","89","88","91","99","86","30","79","28","30","26","70","86","90","67","2450","369","86.91025186236254","92.38000000000001"
"88","Fernando Torres","112658","Spain","2118","4","4","186","78","3","2","Controlled","High & Average","ST","91","99","95","98","99","95","90","85","92","89","78","67","83","59","80","88","83","95","87","89","90","38","84","37","46","40","93","86","82","73","2659","605","81.46446078431373","92.35000000000001"
"52528","David Ginola","114605","France","13","5","5","186","83","3","2","Controlled","High & Average","ST","92","99","99","91","98","96","93","99","93","95","92","85","88","87","91","94","78","87","95","95","95","58","92","57","53","48","93","85","88","85","2839","976","74.4167758846658","93.86000000000003"
"52911","Fernando Torres","112658","Spain","2118","4","5","186","78","3","2","Controlled","High & Average","ST","94","99","97","99","99","97","92","87","94","92","81","70","86","62","83","91","86","98","90","92","93","41","90","39","49","43","95","88","84","75","2101","263","88.87478849407783","94.47999999999999"
"52921","Fernando Torres","112658","Spain","2118","4","4","186","78","3","2","Controlled","High & Average","ST","86","94","90","92","89","82","77","81","87","85","79","66","81","58","87","90","89","93","85","95","88","35","78","35","43","37","83","82","78","65","358","1558","18.684759916492695","86.71000000000002"
"50180","Clint Dempsey","114605","United States","39","4","4","185","79","3","1","Controlled","High & Average","ST","86","91","93","92","97","91","87","99","91","84","80","84","86","76","79","81","73","88","88","87","84","32","83","45","50","47","78","83","82","75","288","605","32.2508398656215","90.03"
"279","Ruud van Nistelrooy","112658","Netherlands","2118","3","3","188","80","2","1","Controlled","High & Average","ST","86","77","79","93","96","93","82","89","89","75","67","75","76","50","74","67","62","96","91","85","90","39","82","34","34","33","80","73","88","68","137","324","29.718004338394792","89.07"
"50194","Sardar Azmoun","32","Iran","19","3","4","186","78","2","1","Controlled","High & Average","ST","85","89","87","87","87","82","75","84","59","84","76","53","87","72","84","86","89","86","86","89","84","38","95","44","37","36","94","82","80","70","243","400","37.791601866251945","86.57000000000001"
"50563","Cristhian Stuani","110062","Uruguay","53","4","4","186","76","3","1","Controlled","High & Average","ST","85","84","86","90","99","97","93","83","99","80","80","67","83","75","77","83","80","91","92","90","92","42","97","53","57","49","99","88","99","85","150","307","32.822757111597376","92.91000000000001"
"277","Ruud van Nistelrooy","112658","Netherlands","2118","3","3","188","80","3","1","Controlled","High & Average","ST","92","89","90","95","99","99","88","93","90","72","74","78","81","57","80","74","72","95","89","85","84","23","88","27","39","34","85","79","89","85","255","269","48.66412213740458","92.38"
"51659","Bruno Sepúlveda","113044","Argentina","353","2","4","187","82","2","3","Lengthy","High & Average","ST","79","79","78","87","80","86","72","75","84","71","57","57","71","59","56","66","76","81","80","74","60","44","99","36","46","53","79","79","94","66","18","29","38.297872340425535","82.83999999999999"
"52465","Mahir Emreli","101033","Azerbaijan","68","3","3","187","75","3","2","Controlled","High & Average","ST","69","85","85","71","71","78","74","62","66","57","40","49","59","47","64","72","54","53","73","74","64","21","61","19","27","29","61","73","75","40","0","10","0.0","70.44"
"48685","Renzo López","112965","Uruguay","353","2","2","192","89","2","1","Lengthy","High & Average","ST","76","67","71","78","83","80","68","49","74","64","41","46","81","73","53","64","49","71","77","82","71","28","98","25","31","32","81","78","95","70","18","24","42.857142857142854","80.05000000000001"
"30357","Baptiste Guillaume","62","Belgium","17","3","4","191","86","3","2","Controlled","High & Average","ST","68","69","49","72","70","68","63","58","65","58","55","39","65","51","36","72","57","65","70","68","72","27","74","45","26","37","77","68","81","48","0","4","0.0","68.67999999999999"
"48438","Darwin Núñez","9","Uruguay","13","3","3","186","80","3","3","Controlled","High & Average+","ST","87","96","93","89","96","95","88","83","87","79","76","69","77","67","84","86","74","97","93","92","92","46","85","40","44","37","88","94","99","83","4901","1346","78.45365775572274","91.94000000000001"
"48589","Edin Džeko","44","Bosnia and Herzegovina","31","3","5","193","80","3","2","Lengthy","High & Average+","ST","88","94","99","98","99","94","81","98","78","70","59","51","75","72","61","78","80","86","87","80","90","53","91","58","30","17","70","80","92","62","3035","384","88.76864580286633","91.68999999999998"
"50341","Cody Gakpo","247","Netherlands","10","4","4","189","76","3","2","Controlled","High & Average+","ST","88","94","95","87","88","92","89","80","73","90","99","83","87","78","93","91","84","87","91","99","84","44","67","48","43","31","83","88","85","66","1888","228","89.22495274102079","87.42"
"48407","Eldor Shomurodov","114912","Uzbekistan","31","3","4","190","76","3","2","Controlled","High & Average+","ST","84","90","87","85","85","86","79","86","75","88","65","65","94","72","88","83","78","72","86","86","73","49","95","46","41","38","78","80","99","71","1790","165","91.56010230179028","86.52"
"53999","Antonio Rüdiger","243","Germany","53","4","5","190","85","3","3","Lengthy","High & Average+","ST","96","96","99","99","93","99","99","92","89","93","87","69","92","99","86","96","90","99","96","98","99","64","95","61","61","63","92","88","96","99","1898","313","85.84350972410674","96.39"
"53756","Randal Kolo Muani","1824","France","19","4","4","187","73","2","2","Controlled","High & Average+","ST","92","99","96","94","95","92","80","85","76","94","88","66","97","89","93","98","88","90","93","99","90","52","99","43","44","43","99","85","85","45","1747","246","87.65679879578525","93.81"
"53875","Victor Osimhen","116365","Nigeria","31","4","5","185","78","3","2","Controlled","High & Average+","ST","97","99","99","98","99","98","90","95","95","95","86","65","91","85","84","99","85","99","95","99","95","47","99","50","59","26","99","96","97","86","1686","184","90.16042780748663","97.52000000000001"
